Sat Nov 16 01:28:43 2024    profile_stats

         137885 function calls (129299 primitive calls) in 0.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    115/1    0.001    0.000    0.335    0.335 {built-in method builtins.exec}
        1    0.000    0.000    0.335    0.335 c:\Users\Kobo\sapai\main.py:5(main)
    142/2    0.002    0.000    0.314    0.157 <frozen importlib._bootstrap>:1349(_find_and_load)
    142/2    0.001    0.000    0.314    0.157 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    138/2    0.001    0.000    0.313    0.156 <frozen importlib._bootstrap>:911(_load_unlocked)
    114/2    0.001    0.000    0.313    0.156 <frozen importlib._bootstrap_external>:989(exec_module)
    338/3    0.000    0.000    0.312    0.104 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    357/2    0.000    0.000    0.312    0.156 {built-in method builtins.__import__}
        1    0.000    0.000    0.265    0.265 c:\Users\Kobo\sapai\sapai\__init__.py:1(<module>)
   212/38    0.001    0.000    0.253    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.230    0.230 c:\Users\Kobo\sapai\sapai\lists.py:1(<module>)
        1    0.001    0.001    0.227    0.227 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__init__.py:1(<module>)
        1    0.000    0.000    0.117    0.117 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\__init__.py:1(<module>)
      114    0.003    0.000    0.103    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.091    0.091 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__config__.py:1(<module>)
        1    0.000    0.000    0.089    0.089 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\__init__.py:1(<module>)
      140    0.002    0.000    0.070    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      130    0.000    0.000    0.066    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      130    0.001    0.000    0.066    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.064    0.064 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_index_tricks_impl.py:1(<module>)
      189    0.003    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      114    0.001    0.000    0.061    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
       24    0.006    0.000    0.060    0.003 c:\Users\Kobo\sapai\sapai\battle.py:214(update_pet_priority)
      471    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      471    0.058    0.000    0.058    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.052    0.052 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\matrixlib\__init__.py:1(<module>)
        1    0.000    0.000    0.050    0.050 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\matrixlib\defmatrix.py:1(<module>)
        1    0.000    0.000    0.049    0.049 c:\Users\Kobo\sapai\sapai\battle.py:50(__init__)
        1    0.000    0.000    0.049    0.049 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\linalg\__init__.py:1(<module>)
      114    0.048    0.000    0.048    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.048    0.048 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__init__.py:339(__getattr__)
        1    0.000    0.000    0.046    0.046 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\random\__init__.py:1(<module>)
        1    0.000    0.000    0.045    0.045 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\linalg\_linalg.py:1(<module>)
        1    0.000    0.000    0.043    0.043 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\random\_pickle.py:1(<module>)
  138/129    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    14/10    0.000    0.000    0.036    0.004 <frozen importlib._bootstrap_external>:1295(exec_module)
    14/10    0.006    0.000    0.036    0.004 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.036    0.036 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\__init__.py:1(<module>)
       14    0.000    0.000    0.032    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
       14    0.020    0.001    0.031    0.002 {built-in method _imp.create_dynamic}
  216/156    0.000    0.000    0.022    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:392(inner)
        1    0.000    0.000    0.022    0.022 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\multiarray.py:1(<module>)
        1    0.000    0.000    0.022    0.022 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\numeric.py:1(<module>)
      114    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.020    0.020 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:1(<module>)
        1    0.000    0.000    0.019    0.019 D:\miniconda3\envs\SAPAI\Lib\secrets.py:1(<module>)
        1    0.000    0.000    0.019    0.019 c:\Users\Kobo\sapai\sapai\battle.py:69(battle)
      158    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      148    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      114    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.017    0.017 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\npyio.py:1(<module>)
       44    0.000    0.000    0.015    0.000 c:\Users\Kobo\sapai\sapai\battle.py:354(battle_phase)
        1    0.000    0.000    0.015    0.015 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_npyio_impl.py:1(<module>)
      902    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.015    0.015 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\shape_base.py:1(<module>)
        5    0.000    0.000    0.015    0.003 c:\Users\Kobo\sapai\sapai\battle.py:118(attack)
      114    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.013    0.013 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\fromnumeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\_dtype_like.py:1(<module>)
        1    0.000    0.000    0.012    0.012 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_internal.py:1(<module>)
        1    0.001    0.001    0.012    0.012 c:\Users\Kobo\sapai\sapai\data.py:1(<module>)
       11    0.001    0.000    0.012    0.001 c:\Users\Kobo\sapai\sapai\battle.py:509(battle_phase_hurt_and_faint)
      265    0.001    0.000    0.011    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:142(decorator)
       85    0.000    0.000    0.011    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:515(__getitem__)
       85    0.000    0.000    0.011    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:694(Union)
       58    0.000    0.000    0.011    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1279(__or__)
  177/176    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      114    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.010    0.010 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\format.py:1(<module>)
      184    0.001    0.000    0.010    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1260(__init__)
        1    0.000    0.000    0.010    0.010 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_methods.py:1(<module>)
        1    0.000    0.000    0.009    0.009 D:\miniconda3\envs\SAPAI\Lib\hmac.py:1(<module>)
        1    0.000    0.000    0.009    0.009 c:\Users\Kobo\sapai\sapai\pets.py:1(<module>)
        1    0.000    0.000    0.009    0.009 D:\miniconda3\envs\SAPAI\Lib\ctypes\__init__.py:1(<module>)
      410    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.008    0.008 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_utils_impl.py:1(<module>)
      228    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.008    0.008 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\_array_like.py:1(<module>)
      268    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      119    0.000    0.000    0.007    0.000 D:\miniconda3\envs\SAPAI\Lib\re\__init__.py:280(_compile)
       13    0.000    0.000    0.007    0.001 D:\miniconda3\envs\SAPAI\Lib\re\__init__.py:226(compile)
      138    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       14    0.000    0.000    0.007    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:740(compile)
        1    0.000    0.000    0.006    0.006 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\numerictypes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 c:\Users\Kobo\sapai\sapai\effects.py:1(<module>)
 5174/106    0.005    0.000    0.006    0.000 c:\Users\Kobo\sapai\sapai\data.py:10757(add_dummy_fields)
      142    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      242    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      128    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    45/12    0.000    0.000    0.005    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1285(__getitem__)
 1192/106    0.003    0.000    0.005    0.000 c:\Users\Kobo\sapai\sapai\data.py:10740(get_fields)
      270    0.003    0.000    0.005    0.000 D:\miniconda3\envs\SAPAI\Lib\functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 D:\miniconda3\envs\SAPAI\Lib\pickle.py:1(<module>)
        1    0.000    0.000    0.005    0.005 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_function_base_impl.py:1(<module>)
      230    0.001    0.000    0.005    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:83(verify_matching_signatures)
      187    0.001    0.000    0.005    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:262(_collect_parameters)
        1    0.000    0.000    0.004    0.004 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\scimath.py:1(<module>)
      410    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
    10340    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      548    0.002    0.000    0.004    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1627(__hash__)
    45/12    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1317(_determine_new_args)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\_char_codes.py:1(<module>)
     1288    0.002    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1206(__setattr__)
       39    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:521(__getitem__)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_globals.py:1(<module>)
    45/12    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1346(_make_substitution)
       39    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:753(Literal)
      213    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       14    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:573(_code)
       14    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:969(parse)
      460    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\_inspect.py:96(getargspec)
     2362    0.001    0.000    0.003    0.000 {built-in method builtins.hasattr}
    34/14    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:452(_parse_sub)
        1    0.002    0.002    0.003    0.003 c:\Users\Kobo\sapai\sapai\shop.py:1(<module>)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_scimath_impl.py:1(<module>)
       11    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\collections\__init__.py:355(namedtuple)
    40/14    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:512(_parse)
     1800    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1152(_is_dunder)
      311    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\function_base.py:505(add_newdoc)
    11610    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.003    0.001 D:\miniconda3\envs\SAPAI\Lib\warnings.py:133(filterwarnings)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_add_newdocs.py:1(<module>)
    66/14    0.001    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:37(_compile)
       85    0.000    0.000    0.003    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:345(_remove_dups_flatten)
      410    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
     5401    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\random.py:1(<module>)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\textwrap.py:1(<module>)
        1    0.000    0.000    0.003    0.003 D:\miniconda3\envs\SAPAI\Lib\platform.py:1(<module>)
      410    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        8    0.001    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:2800(__new__)
      124    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:317(_deduplicate)
     4376    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
9824/9753    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      128    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      153    0.000    0.000    0.002    0.000 {built-in method fromkeys}
       76    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_arraysetops_impl.py:145(unique)
       10    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.002    0.002 D:\miniconda3\envs\SAPAI\Lib\textwrap.py:17(TextWrapper)
      114    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     4874    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      269    0.001    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:175(_type_check)
      184    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1165(__init__)
        1    0.002    0.002    0.002    0.002 c:\Users\Kobo\sapai\sapai\tiers.py:1(<module>)
      279    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:730(<genexpr>)
      410    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 c:\Users\Kobo\sapai\sapai\battle.py:86(start)
      128    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      228    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       70    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1591(__hash__)
       76    0.001    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_arraysetops_impl.py:344(_unique1d)
        8    0.000    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:2781(_make_nmtuple)
      460    0.002    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\_inspect.py:65(getargs)
       11    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      512    0.001    0.000    0.002    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1196(__getattr__)
